
Lmod is automatically replacing "cce/15.0.0" with "amd/5.3.0".


Lmod is automatically replacing "PrgEnv-cray/8.3.3" with "PrgEnv-amd/8.3.3".


Due to MODULEPATH changes, the following have been reloaded:
  1) cray-mpich/8.1.23

Mon 09 Oct 2023 08:21:14 PM EDT
Comm|Scope 0.12.0 v0.12.0@124999d
  scope 1.1.2 HEAD@124999d
    spdlog 1.6.1
    benchmark 1.5.1
[2023-10-09 20:21:15.373] [scope] [info] recorded system CPU turbo state
[2023-10-09 20:21:15.373] [scope] [info] recorded CPU goveror
[2023-10-09 20:21:15.373] [scope] [error] unable to disable CPU turbo: no permission. Run with higher privileges?
[2023-10-09 20:21:15.373] [scope] [error] unable to set OS CPU governor to maximum: no permission. Run with higher privileges?
2023-10-09T20:21:17-04:00
Running /lustre/orion/csc465/scratch/cpearson/frontier-gpu-bandwidth/build/comm_scope
Run on (128 X 1796.12 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x64)
  L1 Instruction 32 KiB (x64)
  L2 Unified 512 KiB (x64)
  L3 Unified 32768 KiB (x8)
Load Average: 0.45, 0.25, 0.20
-----------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations UserCounters...
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):16/manual_time              5230 ns       564787 ns       133552 bytes=65.536k bytes_per_second=11.6703G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):16/manual_time              5256 ns       556498 ns       133552 bytes=65.536k bytes_per_second=11.6122G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):16/manual_time              5211 ns       543584 ns       133552 bytes=65.536k bytes_per_second=11.7136G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):16/manual_time              5169 ns       565790 ns       133552 bytes=65.536k bytes_per_second=11.8082G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):16/manual_time_mean         5222 ns       559115 ns            5 bytes=65.536k bytes_per_second=11.6884G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):16/manual_time_median       5230 ns       564787 ns            5 bytes=65.536k bytes_per_second=11.6703G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):16/manual_time_stddev       34.3 ns         9466 ns            5 bytes=0 bytes_per_second=78.8469M/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):16/manual_time_cv           0.66 %          1.69 %             5 bytes=0.00% bytes_per_second=0.66% dst_numa=-nan% src_gpu=-nan%
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):17/manual_time              7310 ns       859930 ns        96624 bytes=131.072k bytes_per_second=16.7G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):17/manual_time              7276 ns       859409 ns        96624 bytes=131.072k bytes_per_second=16.778G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):17/manual_time              7239 ns       858225 ns        96624 bytes=131.072k bytes_per_second=16.8629G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):17/manual_time              7271 ns       859658 ns        96624 bytes=131.072k bytes_per_second=16.7879G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):17/manual_time              7293 ns       860399 ns        96624 bytes=131.072k bytes_per_second=16.7369G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):17/manual_time_mean         7278 ns       859524 ns            5 bytes=131.072k bytes_per_second=16.7731G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):17/manual_time_median       7276 ns       859658 ns            5 bytes=131.072k bytes_per_second=16.778G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):17/manual_time_stddev       26.5 ns          814 ns            5 bytes=0 bytes_per_second=62.6408M/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):17/manual_time_cv           0.36 %          0.09 %             5 bytes=0.00% bytes_per_second=0.36% dst_numa=-nan% src_gpu=-nan%
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):18/manual_time             11486 ns      1446969 ns        60973 bytes=262.144k bytes_per_second=21.2553G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):18/manual_time             11484 ns      1446779 ns        60973 bytes=262.144k bytes_per_second=21.2584G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):18/manual_time             11490 ns      1449109 ns        60973 bytes=262.144k bytes_per_second=21.2486G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):18/manual_time             11548 ns      1445269 ns        60973 bytes=262.144k bytes_per_second=21.1412G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):18/manual_time             11563 ns      1444931 ns        60973 bytes=262.144k bytes_per_second=21.1137G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):18/manual_time_mean        11514 ns      1446612 ns            5 bytes=262.144k bytes_per_second=21.2034G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_coarse/0/0/log2(N):18/manual_time_median      11490 ns      1446779 ns            5 bytes=262.144k bytes_per_second=21.2486G/s dst_numa=0 src_gpu=0
