
Lmod is automatically replacing "cce/15.0.0" with "amd/5.3.0".


Lmod is automatically replacing "PrgEnv-cray/8.3.3" with "PrgEnv-amd/8.3.3".


Due to MODULEPATH changes, the following have been reloaded:
  1) cray-mpich/8.1.23

Mon 09 Oct 2023 08:12:06 PM EDT
Comm|Scope 0.12.0 v0.12.0@124999d
  scope 1.1.2 HEAD@124999d
    spdlog 1.6.1
    benchmark 1.5.1
[2023-10-09 20:12:09.020] [scope] [info] recorded system CPU turbo state
[2023-10-09 20:12:09.021] [scope] [info] recorded CPU goveror
[2023-10-09 20:12:09.021] [scope] [error] unable to disable CPU turbo: no permission. Run with higher privileges?
[2023-10-09 20:12:09.021] [scope] [error] unable to set OS CPU governor to maximum: no permission. Run with higher privileges?
2023-10-09T20:12:11-04:00
Running /lustre/orion/csc465/scratch/cpearson/frontier-gpu-bandwidth/build/comm_scope
Run on (128 X 1795.68 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x64)
  L1 Instruction 32 KiB (x64)
  L2 Unified 512 KiB (x64)
  L3 Unified 32768 KiB (x8)
Load Average: 0.91, 7.45, 10.79
---------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                       Time             CPU   Iterations UserCounters...
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):16/manual_time_stddev       3.69 ns          307 ns            5 bytes=0 bytes_per_second=8.05354M/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):16/manual_time_cv           0.07 %          0.07 %             5 bytes=0.00% bytes_per_second=0.07% dst_numa=-nan% src_gpu=-nan%
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):17/manual_time              7329 ns       622063 ns        94802 bytes=131.072k bytes_per_second=16.6566G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):17/manual_time              7300 ns       621012 ns        94802 bytes=131.072k bytes_per_second=16.7228G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):17/manual_time              7390 ns       620054 ns        94802 bytes=131.072k bytes_per_second=16.5193G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):17/manual_time              7328 ns       620951 ns        94802 bytes=131.072k bytes_per_second=16.6571G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):17/manual_time              7328 ns       620685 ns        94802 bytes=131.072k bytes_per_second=16.6581G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):17/manual_time_mean         7335 ns       620953 ns            5 bytes=131.072k bytes_per_second=16.6428G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):17/manual_time_median       7328 ns       620951 ns            5 bytes=131.072k bytes_per_second=16.6571G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):17/manual_time_stddev       33.0 ns          727 ns            5 bytes=0 bytes_per_second=76.421M/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):17/manual_time_cv           0.45 %          0.12 %             5 bytes=0.00% bytes_per_second=0.45% dst_numa=-nan% src_gpu=-nan%
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):18/manual_time             12068 ns       975908 ns        58081 bytes=262.144k bytes_per_second=20.2299G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):18/manual_time             12051 ns       976102 ns        58081 bytes=262.144k bytes_per_second=20.2589G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):18/manual_time             12054 ns       976893 ns        58081 bytes=262.144k bytes_per_second=20.2542G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):18/manual_time             12111 ns       976223 ns        58081 bytes=262.144k bytes_per_second=20.158G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):18/manual_time             12095 ns       975846 ns        58081 bytes=262.144k bytes_per_second=20.1851G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):18/manual_time_mean        12076 ns       976194 ns            5 bytes=262.144k bytes_per_second=20.2172G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):18/manual_time_median      12068 ns       976102 ns            5 bytes=262.144k bytes_per_second=20.2299G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):18/manual_time_stddev       26.4 ns          419 ns            5 bytes=0 bytes_per_second=45.2145M/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):18/manual_time_cv           0.22 %          0.04 %             5 bytes=0.00% bytes_per_second=0.22% dst_numa=-nan% src_gpu=-nan%
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):19/manual_time             20139 ns      1692873 ns        34655 bytes=524.288k bytes_per_second=24.2451G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):19/manual_time             20149 ns      1689509 ns        34655 bytes=524.288k bytes_per_second=24.2339G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):19/manual_time             20186 ns      1691135 ns        34655 bytes=524.288k bytes_per_second=24.1886G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):19/manual_time             20169 ns      1854165 ns        34655 bytes=524.288k bytes_per_second=24.2097G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):19/manual_time             20073 ns      1691847 ns        34655 bytes=524.288k bytes_per_second=24.3253G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):19/manual_time_mean        20143 ns      1723906 ns            5 bytes=524.288k bytes_per_second=24.2405G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):19/manual_time_median      20149 ns      1691847 ns            5 bytes=524.288k bytes_per_second=24.2339G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):19/manual_time_stddev       43.3 ns        72828 ns            5 bytes=0 bytes_per_second=53.4234M/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):19/manual_time_cv           0.21 %          4.22 %             5 bytes=0.00% bytes_per_second=0.22% dst_numa=-nan% src_gpu=-nan%
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):20/manual_time             35785 ns      3132003 ns        19553 bytes=1048.58k bytes_per_second=27.2897G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):20/manual_time             35765 ns      3170002 ns        19553 bytes=1048.58k bytes_per_second=27.3047G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):20/manual_time             35684 ns      3145125 ns        19553 bytes=1048.58k bytes_per_second=27.3668G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):20/manual_time             35685 ns      3191220 ns        19553 bytes=1048.58k bytes_per_second=27.3665G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):20/manual_time             35687 ns      3138235 ns        19553 bytes=1048.58k bytes_per_second=27.3647G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):20/manual_time_mean        35721 ns      3155317 ns            5 bytes=1048.58k bytes_per_second=27.3385G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):20/manual_time_median      35687 ns      3145125 ns            5 bytes=1048.58k bytes_per_second=27.3647G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):20/manual_time_stddev       49.8 ns        24718 ns            5 bytes=0 bytes_per_second=38.9931M/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):20/manual_time_cv           0.14 %          0.78 %             5 bytes=0.00% bytes_per_second=0.14% dst_numa=-nan% src_gpu=-nan%
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):21/manual_time             67095 ns      6300374 ns        10473 bytes=2.09715M bytes_per_second=29.1098G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):21/manual_time             67100 ns      6329109 ns        10473 bytes=2.09715M bytes_per_second=29.1076G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):21/manual_time             67299 ns      6052741 ns        10473 bytes=2.09715M bytes_per_second=29.0214G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):21/manual_time             67279 ns      6027409 ns        10473 bytes=2.09715M bytes_per_second=29.0303G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):21/manual_time             67238 ns      6154337 ns        10473 bytes=2.09715M bytes_per_second=29.0479G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):21/manual_time_mean        67202 ns      6172794 ns            5 bytes=2.09715M bytes_per_second=29.0634G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):21/manual_time_median      67238 ns      6154337 ns            5 bytes=2.09715M bytes_per_second=29.0479G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):21/manual_time_stddev       98.1 ns       138384 ns            5 bytes=0 bytes_per_second=43.4775M/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):21/manual_time_cv           0.15 %          2.24 %             5 bytes=0.00% bytes_per_second=0.15% dst_numa=-nan% src_gpu=-nan%
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):22/manual_time            129194 ns     12399681 ns         5414 bytes=4.1943M bytes_per_second=30.2356G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):22/manual_time            129198 ns     12335255 ns         5414 bytes=4.1943M bytes_per_second=30.2347G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):22/manual_time            129168 ns     12279013 ns         5414 bytes=4.1943M bytes_per_second=30.2417G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):22/manual_time            129235 ns     12278607 ns         5414 bytes=4.1943M bytes_per_second=30.2258G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):22/manual_time            129125 ns     12277392 ns         5414 bytes=4.1943M bytes_per_second=30.2516G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):22/manual_time_mean       129184 ns     12313990 ns            5 bytes=4.1943M bytes_per_second=30.2379G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):22/manual_time_median     129194 ns     12279013 ns            5 bytes=4.1943M bytes_per_second=30.2356G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):22/manual_time_stddev       40.8 ns        53875 ns            5 bytes=0 bytes_per_second=9.78229M/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):22/manual_time_cv           0.03 %          0.44 %             5 bytes=0.00% bytes_per_second=0.03% dst_numa=-nan% src_gpu=-nan%
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):23/manual_time            253974 ns     24478736 ns         2749 bytes=8.38861M bytes_per_second=30.761G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):23/manual_time            253650 ns     24125953 ns         2749 bytes=8.38861M bytes_per_second=30.8003G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):23/manual_time            253572 ns     24432672 ns         2749 bytes=8.38861M bytes_per_second=30.8098G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):23/manual_time            253509 ns     24321586 ns         2749 bytes=8.38861M bytes_per_second=30.8174G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):23/manual_time            253525 ns     24168985 ns         2749 bytes=8.38861M bytes_per_second=30.8155G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):23/manual_time_mean       253646 ns     24305586 ns            5 bytes=8.38861M bytes_per_second=30.8008G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):23/manual_time_median     253572 ns     24321586 ns            5 bytes=8.38861M bytes_per_second=30.8098G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):23/manual_time_stddev        191 ns       155977 ns            5 bytes=0 bytes_per_second=23.7761M/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):23/manual_time_cv           0.08 %          0.64 %             5 bytes=0.00% bytes_per_second=0.08% dst_numa=-nan% src_gpu=-nan%
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):24/manual_time            510336 ns     47252602 ns         1264 bytes=16.7772M bytes_per_second=30.6171G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):24/manual_time            521937 ns     47662219 ns         1264 bytes=16.7772M bytes_per_second=29.9366G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):24/manual_time            507653 ns     48209250 ns         1264 bytes=16.7772M bytes_per_second=30.7789G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):24/manual_time            514069 ns     48777460 ns         1264 bytes=16.7772M bytes_per_second=30.3947G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):24/manual_time            717061 ns     47884164 ns         1264 bytes=16.7772M bytes_per_second=21.7903G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):24/manual_time_mean       554211 ns     47957139 ns            5 bytes=16.7772M bytes_per_second=28.7035G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):24/manual_time_median     514069 ns     47884164 ns            5 bytes=16.7772M bytes_per_second=30.3947G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):24/manual_time_stddev      91195 ns       575578 ns            5 bytes=0 bytes_per_second=3.87756G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):24/manual_time_cv          16.45 %          1.20 %             5 bytes=0.00% bytes_per_second=13.51% dst_numa=-nan% src_gpu=-nan%
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):25/manual_time           1151491 ns     94004741 ns          593 bytes=33.5544M bytes_per_second=27.1387G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):25/manual_time           1157849 ns     94034433 ns          593 bytes=33.5544M bytes_per_second=26.9897G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):25/manual_time           1203965 ns     94025400 ns          593 bytes=33.5544M bytes_per_second=25.9559G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):25/manual_time           1901943 ns     94730253 ns          593 bytes=33.5544M bytes_per_second=16.4306G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):25/manual_time           1135259 ns     93864301 ns          593 bytes=33.5544M bytes_per_second=27.5268G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):25/manual_time_mean      1310101 ns     94131826 ns            5 bytes=33.5544M bytes_per_second=24.8083G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):25/manual_time_median    1157849 ns     94025400 ns            5 bytes=33.5544M bytes_per_second=26.9897G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):25/manual_time_stddev     331832 ns       341558 ns            5 bytes=0 bytes_per_second=4.71919G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):25/manual_time_cv          25.33 %          0.36 %             5 bytes=0.00% bytes_per_second=19.02% dst_numa=-nan% src_gpu=-nan%
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):26/manual_time           1550482 ns    188731903 ns          445 bytes=67.1089M bytes_per_second=40.31G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):26/manual_time           1719807 ns    185658476 ns          445 bytes=67.1089M bytes_per_second=36.3413G/s dst_numa=0 src_gpu=0
Comm_implicit_managed_HostWrGPU_fine/0/0/log2(N):26/manual_time           1564187 ns    188459611 ns          445 bytes=67.1089M bytes_per_second=39.9569G/s dst_numa=0 src_gpu=0
