
Lmod is automatically replacing "cce/15.0.0" with "amd/5.3.0".


Lmod is automatically replacing "PrgEnv-cray/8.3.3" with "PrgEnv-amd/8.3.3".


Due to MODULEPATH changes, the following have been reloaded:
  1) cray-mpich/8.1.23

Mon 09 Oct 2023 05:45:29 PM EDT
Comm|Scope 0.12.0 v0.12.0@124999d
  scope 1.1.2 HEAD@124999d
    spdlog 1.6.1
    benchmark 1.5.1
[2023-10-09 17:45:31.397] [scope] [info] recorded system CPU turbo state
[2023-10-09 17:45:31.398] [scope] [info] recorded CPU goveror
[2023-10-09 17:45:31.398] [scope] [error] unable to disable CPU turbo: no permission. Run with higher privileges?
[2023-10-09 17:45:31.398] [scope] [error] unable to set OS CPU governor to maximum: no permission. Run with higher privileges?
2023-10-09T17:45:33-04:00
Running /lustre/orion/csc465/scratch/cpearson/frontier-gpu-bandwidth/build/comm_scope
Run on (128 X 1795.92 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x64)
  L1 Instruction 32 KiB (x64)
  L2 Unified 512 KiB (x64)
  L3 Unified 32768 KiB (x8)
Load Average: 0.29, 3.20, 19.10
--------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                Time             CPU   Iterations UserCounters...
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):17/manual_time_stddev       6.47 ns         19.1 ns            5 bytes=0 bytes_per_second=5.36988M/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):17/manual_time_cv           0.05 %          0.06 %             5 bytes=0.00% bytes_per_second=0.05% own_gpu=-nan% wr_gpu=-nan%
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):18/manual_time             12502 ns        32938 ns        55980 bytes=262.144k bytes_per_second=19.5278G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):18/manual_time             12504 ns        32993 ns        55980 bytes=262.144k bytes_per_second=19.5253G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):18/manual_time             12495 ns        32944 ns        55980 bytes=262.144k bytes_per_second=19.5393G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):18/manual_time             12498 ns        32939 ns        55980 bytes=262.144k bytes_per_second=19.5344G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):18/manual_time             12498 ns        32958 ns        55980 bytes=262.144k bytes_per_second=19.5342G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):18/manual_time_mean        12499 ns        32955 ns            5 bytes=262.144k bytes_per_second=19.5322G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):18/manual_time_median      12498 ns        32944 ns            5 bytes=262.144k bytes_per_second=19.5342G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):18/manual_time_stddev       3.59 ns         23.2 ns            5 bytes=0 bytes_per_second=5.74242M/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):18/manual_time_cv           0.03 %          0.07 %             5 bytes=0.00% bytes_per_second=0.03% own_gpu=-nan% wr_gpu=-nan%
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):19/manual_time             12548 ns        33048 ns        55774 bytes=524.288k bytes_per_second=38.9139G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):19/manual_time             12549 ns        33089 ns        55774 bytes=524.288k bytes_per_second=38.9102G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):19/manual_time             12549 ns        33068 ns        55774 bytes=524.288k bytes_per_second=38.9111G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):19/manual_time             12545 ns        33038 ns        55774 bytes=524.288k bytes_per_second=38.9213G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):19/manual_time             12542 ns        33055 ns        55774 bytes=524.288k bytes_per_second=38.9329G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):19/manual_time_mean        12546 ns        33060 ns            5 bytes=524.288k bytes_per_second=38.9179G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):19/manual_time_median      12548 ns        33055 ns            5 bytes=524.288k bytes_per_second=38.9139G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):19/manual_time_stddev       3.06 ns         19.7 ns            5 bytes=0 bytes_per_second=9.7213M/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):19/manual_time_cv           0.02 %          0.06 %             5 bytes=0.00% bytes_per_second=0.02% own_gpu=-nan% wr_gpu=-nan%
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):20/manual_time             12623 ns        33160 ns        55465 bytes=1048.58k bytes_per_second=77.3647G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):20/manual_time             12611 ns        33212 ns        55465 bytes=1048.58k bytes_per_second=77.4382G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):20/manual_time             12624 ns        33151 ns        55465 bytes=1048.58k bytes_per_second=77.3595G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):20/manual_time             12625 ns        33155 ns        55465 bytes=1048.58k bytes_per_second=77.353G/s own_gpu=0 wr_gpu=0
