
Lmod is automatically replacing "cce/15.0.0" with "amd/5.3.0".


Lmod is automatically replacing "PrgEnv-cray/8.3.3" with "PrgEnv-amd/8.3.3".


Due to MODULEPATH changes, the following have been reloaded:
  1) cray-mpich/8.1.23

Mon 09 Oct 2023 05:38:26 PM EDT
Comm|Scope 0.12.0 v0.12.0@124999d
  scope 1.1.2 HEAD@124999d
    spdlog 1.6.1
    benchmark 1.5.1
[2023-10-09 17:38:29.025] [scope] [info] recorded system CPU turbo state
[2023-10-09 17:38:29.025] [scope] [info] recorded CPU goveror
[2023-10-09 17:38:29.025] [scope] [error] unable to disable CPU turbo: no permission. Run with higher privileges?
[2023-10-09 17:38:29.025] [scope] [error] unable to set OS CPU governor to maximum: no permission. Run with higher privileges?
2023-10-09T17:38:31-04:00
Running /lustre/orion/csc465/scratch/cpearson/frontier-gpu-bandwidth/build/comm_scope
Run on (128 X 1790.37 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x64)
  L1 Instruction 32 KiB (x64)
  L2 Unified 512 KiB (x64)
  L3 Unified 32768 KiB (x8)
Load Average: 0.63, 11.72, 27.46
---------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                 Time             CPU   Iterations UserCounters...
Comm_implicit_mapped_GPURdHost/0/0/log2(N):18/manual_time_stddev       4.36 ns         13.4 ns            5 bytes=0 bytes_per_second=3.05332M/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):18/manual_time_cv           0.02 %          0.05 %             5 bytes=0.00% bytes_per_second=0.02% own_numa=-nan% rd_gpu=-nan%
Comm_implicit_mapped_GPURdHost/0/0/log2(N):19/manual_time             29304 ns        44704 ns        23894 bytes=524.288k bytes_per_second=16.6628G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):19/manual_time             29307 ns        44656 ns        23894 bytes=524.288k bytes_per_second=16.6606G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):19/manual_time             29308 ns        44666 ns        23894 bytes=524.288k bytes_per_second=16.6601G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):19/manual_time             29335 ns        44700 ns        23894 bytes=524.288k bytes_per_second=16.6453G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):19/manual_time             29327 ns        44659 ns        23894 bytes=524.288k bytes_per_second=16.6497G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):19/manual_time_mean        29316 ns        44677 ns            5 bytes=524.288k bytes_per_second=16.6557G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):19/manual_time_median      29308 ns        44666 ns            5 bytes=524.288k bytes_per_second=16.6601G/s own_numa=0 rd_gpu=0
Comm_implicit_mapped_GPURdHost/0/0/log2(N):19/manual_time_stddev       13.6 ns         23.1 ns            5 bytes=0 bytes_per_second=7.91632M/s own_numa=0 rd_gpu=0
