
Lmod is automatically replacing "cce/15.0.0" with "amd/5.3.0".


Lmod is automatically replacing "PrgEnv-cray/8.3.3" with "PrgEnv-amd/8.3.3".


Due to MODULEPATH changes, the following have been reloaded:
  1) cray-mpich/8.1.23

Mon 09 Oct 2023 05:38:26 PM EDT
Comm|Scope 0.12.0 v0.12.0@124999d
  scope 1.1.2 HEAD@124999d
    spdlog 1.6.1
    benchmark 1.5.1
[2023-10-09 17:38:29.022] [scope] [info] recorded system CPU turbo state
[2023-10-09 17:38:29.023] [scope] [info] recorded CPU goveror
[2023-10-09 17:38:29.023] [scope] [error] unable to disable CPU turbo: no permission. Run with higher privileges?
[2023-10-09 17:38:29.023] [scope] [error] unable to set OS CPU governor to maximum: no permission. Run with higher privileges?
2023-10-09T17:38:31-04:00
Running /lustre/orion/csc465/scratch/cpearson/frontier-gpu-bandwidth/build/comm_scope
Run on (128 X 1960.75 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x64)
  L1 Instruction 32 KiB (x64)
  L2 Unified 512 KiB (x64)
  L3 Unified 32768 KiB (x8)
Load Average: 0.68, 11.22, 26.93
-------------------------------------------------------------------------------------------------------------------------
Benchmark                                                               Time             CPU   Iterations UserCounters...
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):13/manual_time             10766 ns   1235514977 ns        65037 bytes=8.192k bytes_per_second=725.676M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):13/manual_time             10777 ns   1236443199 ns        65037 bytes=8.192k bytes_per_second=724.921M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):13/manual_time             10765 ns   1234107048 ns        65037 bytes=8.192k bytes_per_second=725.746M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):13/manual_time             10775 ns   1236219325 ns        65037 bytes=8.192k bytes_per_second=725.073M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):13/manual_time_mean        10772 ns   1235600645 ns            5 bytes=8.192k bytes_per_second=725.272M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):13/manual_time_median      10775 ns   1235718678 ns            5 bytes=8.192k bytes_per_second=725.073M/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):13/manual_time_stddev       6.02 ns       914435 ns            5 bytes=0 bytes_per_second=415.222k/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):13/manual_time_cv           0.06 %          0.07 %             5 bytes=0.00% bytes_per_second=0.06% dst_id=-nan% src_id=-nan%
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):14/manual_time             10816 ns   1249892793 ns        64812 bytes=16.384k bytes_per_second=1.4107G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):14/manual_time             10810 ns   1249308342 ns        64812 bytes=16.384k bytes_per_second=1.41152G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):14/manual_time             10822 ns   1250190323 ns        64812 bytes=16.384k bytes_per_second=1.40997G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):14/manual_time             10803 ns   1246910508 ns        64812 bytes=16.384k bytes_per_second=1.41243G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):14/manual_time             10815 ns   1248703961 ns        64812 bytes=16.384k bytes_per_second=1.41086G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):14/manual_time_mean        10813 ns   1249001185 ns            5 bytes=16.384k bytes_per_second=1.4111G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):14/manual_time_median      10815 ns   1249308342 ns            5 bytes=16.384k bytes_per_second=1.41086G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):14/manual_time_stddev       7.09 ns      1300253 ns            5 bytes=0 bytes_per_second=969.847k/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):14/manual_time_cv           0.07 %          0.10 %             5 bytes=0.00% bytes_per_second=0.07% dst_id=-nan% src_id=-nan%
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):15/manual_time             10849 ns   1266768198 ns        64610 bytes=32.768k bytes_per_second=2.81291G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):15/manual_time             10831 ns   1267658945 ns        64610 bytes=32.768k bytes_per_second=2.81749G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):15/manual_time             10846 ns   1268122086 ns        64610 bytes=32.768k bytes_per_second=2.8138G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):15/manual_time             10832 ns   1267244188 ns        64610 bytes=32.768k bytes_per_second=2.81734G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):15/manual_time             10848 ns   1267811938 ns        64610 bytes=32.768k bytes_per_second=2.81325G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):15/manual_time_mean        10841 ns   1267521071 ns            5 bytes=32.768k bytes_per_second=2.81496G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):15/manual_time_median      10846 ns   1267658945 ns            5 bytes=32.768k bytes_per_second=2.8138G/s dst_id=0 src_id=0
Comm_hipMemcpyAsync_GPUToGPU/0/0/log2(N):15/manual_time_stddev       8.72 ns       526383 ns            5 bytes=0 bytes_per_second=2.31984M/s dst_id=0 src_id=0
