
Lmod is automatically replacing "cce/15.0.0" with "amd/5.3.0".


Lmod is automatically replacing "PrgEnv-cray/8.3.3" with "PrgEnv-amd/8.3.3".


Due to MODULEPATH changes, the following have been reloaded:
  1) cray-mpich/8.1.23

Mon 09 Oct 2023 05:44:29 PM EDT
Comm|Scope 0.12.0 v0.12.0@124999d
  scope 1.1.2 HEAD@124999d
    spdlog 1.6.1
    benchmark 1.5.1
[2023-10-09 17:44:32.047] [scope] [info] recorded system CPU turbo state
[2023-10-09 17:44:32.048] [scope] [info] recorded CPU goveror
[2023-10-09 17:44:32.048] [scope] [error] unable to disable CPU turbo: no permission. Run with higher privileges?
[2023-10-09 17:44:32.048] [scope] [error] unable to set OS CPU governor to maximum: no permission. Run with higher privileges?
2023-10-09T17:44:34-04:00
Running /lustre/orion/csc465/scratch/cpearson/frontier-gpu-bandwidth/build/comm_scope
Run on (128 X 1795.72 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x64)
  L1 Instruction 32 KiB (x64)
  L2 Unified 512 KiB (x64)
  L3 Unified 32768 KiB (x8)
Load Average: 0.02, 0.44, 3.92
------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                    Time             CPU   Iterations UserCounters...
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):19/manual_time             30776 ns    537718392 ns        22742 bytes=524.288k bytes_per_second=15.8655G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):19/manual_time             30774 ns    542112033 ns        22742 bytes=524.288k bytes_per_second=15.8665G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):19/manual_time             30779 ns    538447429 ns        22742 bytes=524.288k bytes_per_second=15.8643G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):19/manual_time             30774 ns    537175164 ns        22742 bytes=524.288k bytes_per_second=15.8668G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):19/manual_time_mean        30775 ns    538096978 ns            5 bytes=524.288k bytes_per_second=15.8662G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):19/manual_time_median      30774 ns    537718392 ns            5 bytes=524.288k bytes_per_second=15.8665G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):19/manual_time_stddev       2.71 ns      2580282 ns            5 bytes=0 bytes_per_second=1.42843M/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):19/manual_time_cv           0.01 %          0.48 %             5 bytes=0.00% bytes_per_second=0.01% hip_id=-nan% numa_id=-nan%
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):20/manual_time             52816 ns    526425947 ns        13274 bytes=1048.58k bytes_per_second=18.4899G/s hip_id=0 numa_id=0
Comm_hipMemcpyAsync_PageableToGPU/0/0/log2(N):20/manual_time             52841 ns    527012328 ns        13274 bytes=1048.58k bytes_per_second=18.4811G/s hip_id=0 numa_id=0
